feature,mean_abs_shap_value,mean_signed_shap_value,rank,model_key,model_label,feature_source,probability_source,xai_probability_source
roa,0.08129879126014809,0.0068536178053667145,1,fi_pll,FI-PLL Fuzzy Choquet Ensemble,aligned_financial_features,fp,fp
operating_profit_margin,0.06804163889804234,-0.0006010107463225722,2,fi_pll,FI-PLL Fuzzy Choquet Ensemble,aligned_financial_features,fp,fp
ebit_margin,0.06284042277062933,0.0023652224335819483,3,fi_pll,FI-PLL Fuzzy Choquet Ensemble,aligned_financial_features,fp,fp
pretax_profit_margin,0.05340602615615353,-0.0009903000779255915,4,fi_pll,FI-PLL Fuzzy Choquet Ensemble,aligned_financial_features,fp,fp
debt_equity_ratio,0.05197510658763349,-0.00552057246871603,5,fi_pll,FI-PLL Fuzzy Choquet Ensemble,aligned_financial_features,fp,fp
gross_profit_margin,0.04808122618123889,-0.0035397435810106495,6,fi_pll,FI-PLL Fuzzy Choquet Ensemble,aligned_financial_features,fp,fp
operating_cashflow_ps,0.04060367044682304,0.0019325250759720802,7,fi_pll,FI-PLL Fuzzy Choquet Ensemble,aligned_financial_features,fp,fp
free_cashflow_ps,0.036473461776040494,-0.006494971574284136,8,fi_pll,FI-PLL Fuzzy Choquet Ensemble,aligned_financial_features,fp,fp
roe,0.034178098275636636,-0.004547274671494961,9,fi_pll,FI-PLL Fuzzy Choquet Ensemble,aligned_financial_features,fp,fp
asset_turnover,0.026590365450829268,0.00048007076838985085,10,fi_pll,FI-PLL Fuzzy Choquet Ensemble,aligned_financial_features,fp,fp
net_profit_margin,0.0233658025196443,-0.001372610645679136,11,fi_pll,FI-PLL Fuzzy Choquet Ensemble,aligned_financial_features,fp,fp
current_ratio,0.020390853324594598,-0.0031945300773562244,12,fi_pll,FI-PLL Fuzzy Choquet Ensemble,aligned_financial_features,fp,fp
