trial,score_f1_weighted,hidden_size,dropout,fuzzy_mfs,d_model,n_heads,n_layers,sector_emb_dim,max_relative_position,lr,max_lr,weight_decay,focal_gamma,ordinal_alpha,label_smoothing,class_balance_beta
12,0.9307242739496634,128,0.12,7,128,8,4,32,16,0.0002,0.001,0.0008,1.0,0.04,0.0,0.995
5,0.929524820389706,128,0.1,7,128,4,3,16,32,0.0002,0.001,0.001,1.5,0.01,0.0,0.995
3,0.9283240857902956,128,0.1,5,256,4,3,32,16,0.0003,0.001,0.0005,1.0,0.02,0.01,0.995
10,0.9283240857902956,64,0.08,5,128,8,3,32,16,0.0003,0.001,0.0008,2.0,0.04,0.01,0.995
4,0.928163020203743,64,0.1,5,128,4,3,16,16,0.0003,0.0012,0.0005,1.0,0.01,0.01,0.995
16,0.925759426338225,64,0.08,5,128,8,3,32,16,0.0003,0.001,0.0008,1.5,0.04,0.01,0.995
11,0.9253053317209391,128,0.08,5,256,8,3,32,16,0.0003,0.0008,0.0008,2.0,0.04,0.01,0.995
17,0.9248773368619869,128,0.12,7,256,4,3,16,16,0.0003,0.001,0.0008,1.0,0.04,0.0,0.995
19,0.9239036596632753,128,0.1,5,128,8,4,32,32,0.0003,0.0008,0.001,1.5,0.02,0.01,0.995
8,0.9232100304866749,64,0.1,7,256,4,4,32,16,0.0005,0.0008,0.001,1.5,0.01,0.01,0.995
15,0.9231082510835449,64,0.12,7,256,8,3,32,32,0.0002,0.0012,0.0005,1.0,0.04,0.01,0.995
13,0.9224441963882399,64,0.08,5,128,8,3,32,32,0.0003,0.001,0.0005,1.5,0.04,0.0,0.995
20,0.9223712491367907,64,0.1,5,256,8,3,32,32,0.0005,0.0008,0.0008,1.5,0.01,0.01,0.995
6,0.9222545160785091,64,0.08,5,256,8,3,16,32,0.0002,0.0008,0.0005,1.5,0.02,0.0,0.995
2,0.9217908402078836,128,0.08,5,256,4,3,32,32,0.0005,0.0012,0.001,1.0,0.01,0.01,0.995
1,0.9215475317130367,128,0.1,5,256,8,3,32,32,0.0005,0.0012,0.0008,2.0,0.01,0.0,0.995
7,0.9200357021534047,128,0.1,5,128,4,4,32,32,0.0003,0.0008,0.001,2.0,0.04,0.0,0.995
9,0.9175267264683713,128,0.1,5,128,8,4,16,32,0.0005,0.0012,0.001,1.5,0.04,0.0,0.995
18,0.916625670012567,64,0.08,5,128,4,4,16,32,0.0003,0.001,0.001,1.5,0.02,0.01,0.995
14,0.9128799369321524,64,0.12,7,256,8,3,32,16,0.0002,0.0012,0.0008,2.0,0.04,0.01,0.995
